,question,classification
34,Suku Apakah yang merupakan mayoritas di Jepang ?,B
35,Pada tanggal berapa Gus Dur terpilih sebagai presiden?,B
36,Siapa yang mengundang Yasser Arafat ke sidang PBB?,B
37,Berapa banyak penduduk Jepang yang berusia diatas 65 tahun pada tahun 2004 ?,B
38,Mengapa beton dan bahan sintetik keras tidak disarankan untuk digunakan sebagai permukaan lapangan bulu tangkis?,B
39,Siapa nama lain dari Mbah Kuwu Cirebon?,C
40,Mengapa terjadi perpecahan pada orde lama menurut orde baru ?,B
41,Apa lagu yang dinyanyikan oleh mahasiswa terkait meninggalnya mahasiswa yang beraksi sebelumnya?,B
42,Berapa kali Jepang menjadi anggota tidak tetap dewan keamanan PBB ?,C
43,Apakah yang membuat pulau skuba cocok untuk selam skuba ?,B
44,Kapan AL Utsmaniyah memaksa Venesia menandatangani perjanjian damai?,B
45,Suku apakah yang mulai ditekan oleh Presiden Soeharto?,C
46,Apakah taktik yang biasa digunakan bila ingin memperkuat tengah lapangan pada permainan sepak bola ?,B
47,bagaimana cara melakukan servis?,B
48,Siapakah Dowes Dekker ?,B
49,Untuk apa Hindia Belanda mengirim Sentot ke Sumatra Barat?,B
50,Berapa PDB Indonesia yang dialokasikan untuk kesehatan?,B
51,Siapa saja yang mengucapkan selamat datang kepada BJ Habibie? ,C
52,Apa saja daerah yang memiliki keterkaitan dengan Majapahit?,B
53,Kapankah Musso kembali ke Jakarta ?,B
54,Dimanakah sidang Pleno KNIP diselenggarakan ?,B
55,Apa alasan beberapa pihak mencerca presentasi Jokowi?,B
56,Kapan kompetisi badminton internasional kategori beregu putra pertama kali diadakan?,B
57,Mengapa Soemarsono ditangkap oleh pasukan belanda?,C
58,Apa pekerjaan utama Nabi Muhammad SAW?,B
59,Siapa yang mengeluarkan proklamasi emansipasi?,C
60,pemain ketiga dalam bola voli dinamai apa?,C
61,Apakah kelompok pemberontak menang perang?,C
62,Apakah yang dijadikan bahan oleh penguasa Jepang untuk tidak percaya kepada Hatta selama perang pasifik ?,B
63,Kapan sekutu mulai melancarkan operasi untuk melawan Jepang di Pasifik?,A
64,Apa nama foodcourt yang dekat dengan poros Casablanca-Satrio?,C
65,Berapakah angka harapan hidup di Indonesia pada tahun 1992?,C
66,Apa permintaan para pemuda yang tak diizinkan oleh Jepang?,B
67,Apa nama acara ketika NCT U pertama kali perform di China?,B
68,Berapa banyak warga AS yang menerima penghargaan Nobel Sastra?,B
69,"Setelah menjadi sersan, Soeharto mendapatkan pangkat apa?",A
70,Berapa umur Khadijah saat menikah dengan Nabi Muhammad SAW?,C
71,apa arti semboyan Bhinneka Tunggal Ika?,A
72,Kapankah pembangunan candi Borobudur dimulai ?,C
73,Ke mana Soekarno menemani Perdana Menteri Soviet?,B
74,Berapa banyak surat kabar yang ditutup?,B
75,Apakah kepanjangan NASAKOM ?,B
76,Kapan NCT 127 merilis video dance music?,B
77,Berapa lama pertempuran Changde berlangsung?,B
78,Kapankah Presiden Soekarno meresmikan berdirinya TNI ?,C
79,siapa yang mengambil alih kasus Rizieq?,B
80,Mengapa Ariel Sharon digantikan oleh Ehud Olmert ?,C
81,"Berdasarkan sensus 2010, berapa banyak orang yang tinggal di Jakarta?",B
82,Berdasarkan apa sajakah ajaran gereja mengenai sepuluh perintah Allah ?,C
83,Apa nama dua drainase di Jakarta?,B
84,Siapakah yang menemukan candi Borobudur ?,B
85,Berapa peringkat Amerika dalam konsumsi minyak bumi di dunia?,C
86,Apa efek dari kondisi ekonomi yang buruk terhadap dinasi Abbasiyah kedua?,C
87,Apa bentuk kemajuan yang berjalan beriringan dengan kemajuan politik pemerintahan Islam pada masa klasik?,B
88,Siapa saja yang ditunjuk oleh gubernur di setiap negara bagian?,C
89,"Kapan Murad II mengalahkan pasukan Hongaria, Polandia, dan Wallachia?",B
90,Becak masih bisa dijumpai dimana?,B
91,Siapakah yang menulis rumusan sumpah pemuda ?,B
92,Berapakah penurunan PDB Singapura pada resesi global tahun 2001 ?,C
93,Mangapa Hatta tidak lagi sejalan dengan Bung Karno ?,A
94,Kapankah Hatta mendapat anugerah Bintang Republik Indonesia Kelas 1 ?,B
95,Siapakah Presiden Amerika Serikat pada 1999 ?,C
96,Kapan Wong Yuk-hei lahir?,B
97,Apa yang dilakukan Presiden Habibie segera setelah memperoleh kekuasaan?,B
98,Apa indikator adanya perbedaan kelas sosial di AS?,A
99,Apa nama album mini keempat NCT 127?,A
100,Dimanakah Adolf Eichmann bersembunyi ?,C
101,Berapa banyakkah negara yang terhubung ke Singapura melalui bandara Changi ?,C
102,Apa batasan wewenang raja yang diatur dalam magna carta?,B
103,Mengapa kontribusi timah terhadap ekonomi malaysia semakin menurun?,B
104,Siapakah Khalifah yang memulai penyusunan kembali Al-Qur'an?,C
105,Upaya apa yang dilakukan AS untuk menandingi Soviet dalam hal antariksa?,B
106,Apa yang menyebabkan memaksa penjelajah Spanyol dan Portugal mencari rute baru ke timur?,B
107,Apa yang menyebabkan perpindahan orang Yahudi Eropa ke Tanah suci pada abad ke-12 ?,B
108,Mengapa penunjukkan Budi dianggap sebagai politik balas jasa?,B
109,Apa warna garis lapangan bulu tangkis yang disarankan?,B
110,Siapakah menteri pertahanan Singapura ?,C
111,Pasar Kamis berubah menjadi pasar apa?,B
112,Sarana komunikasi apa saja yang dikuasai PKI setelah peristiwa pembunuhan beberapa perwira TNI AD?,B
113,Pada usia berapa Soeharto menikah?,A
114,Siapakah orang Tionghoa yang terlibat persahabatan akrab dengan Soeharto?,B
115,Siapa yang memimpin grup vokal pria BTS?,C
116,Dimana Jeno lahir?,A
117,Kapan pemerintah AS akan memberlakukan wajib militer?,C
118,Mengapa Singapura mengirimkan 3 helikopter CH-47 Chinook ke Louisiana?,A
119,Berapa lama persaingan Amerika Serikat dan Uni Soviet berlangsung?,B
120,Mengapa Bani Umayyah dan Bani Idrisiyyah tetap patuh membayar upeti?,A
121,apa yang mengawali memudarnya citra Utsmaniyah?,B
122,Pada usia berapakah anak-anak di Amerika mulai wajib masuk sekolah?,C
123,Pembangunan apakah yang didorong pasca perang saudara?,C
124,Apa yang dimaksud dengan insiden noemvriana?,B
125,Apa tujuan dari Gerakan Non-Blok?,C
126,Apa yang pasukan Britania lakukan pada bulan Maret 1917?,B
127,Siapakah yang menggantikan Tirtokoesomo ?,B
128,Apa dampak dari sikap Jepang yang mengabaikan persyaratan Postdam?,B
129,Kapankah Britania kembali merebut Singapura dari Jepang ?,B
130,Sebutkan Sekte-sekte Muslim yang dianggap sesat!,B
131,Untuk keberapa kalinya Soeharto terpilih oleh parlemen pada Maret 1998?,B
132,Siapakah pendiri dari kekhalifahan Abbasiyah?,A
133,bendera apa yang menjadi masalah BTS dengan SWC dan Asosiasi Korban Bom Atom Korea?,A
134,Apa yang dimaksud Asbabun Nuzul?,B
135,Bagaimana hasil serangan Jepang di Mongolia?,A
136,Sampai abad keberapa prosa Utsmaniyah tidak ada fiksi?,B
137,Kapan album BTS World Ost. Game mendapat sertifikasi Triple Million?,C
138,Apakah yang dimkasud dengan bahasa ?,B
139,Apa sajakah golongan pada mudra ?,B
140,Bahasa Indonesia sejatinya merupakan salah satu variasi dari bahasa apa?,A
141,Hypermarket apa saja yang menjadi trend kalangan menengah di Jakarta?,C
142,Mengapa Tan Malaka menolak rencana pemberontakan PKI ?,B
143,Apa sajakah universitas negeri yang ada di Singapura ?,B
144,Berapakah rasio perbandingan yang ditemukan pada candi Borobudur ?,A
145,Gunung apakah yang meletus pada 1883 dan termasuk letusan gunung terbesar dalam sejarah?,A
146,Mengapa terjadi perpecahan di kalangan masyarakat Indonesia?,B
147,Berapakah pendapatan perkapita masyarakat Indonesia pada tahun 1993?,B
148,Pada tanggal berapa pasukan Sentot berhasil memukul mundur tentara Sollewijin di Progo Timur?,B
149,Siapa nama penemu permainan bola voli?,A
150,Apa yang disembah bangsa Austronesia pada zaman dahulu?,C
151,Siapa putra Osman?,C
152,Apa sebutan standar untuk warga negara Amerika Serikat?,B
153,Apa kontribusi D. W. Griffith dalam dunia perfilman?,B
154,Kapan film Laskar Pelangi dirilis?,B
155,Apakah salah satu tuntutan reformasi 1998 ?,C
156,Siapa yang tewas mahasiswa angkatan 1996?,B
157,Kapan genre musik country mulai berkembang?,B
158,Kapan Istri Presiden Soeharto meninggal?,A
159,Kapankah APRI diubah menjadi ABRI ?,B
160,Mengapa kampanye laut Atlantik Jerman ditunda?,A
161,Berapa hari tahun perayaan tahun baru imlek dilakukan?,B
162,Apa itu Gaon Chart?,B
163,Siapa yang menerjemahkan surat kartini ke dalam bahasa inggris?,C
164,Dari bahan apakah mata uang Jawa berasal?,B
165,Negara manakah yang memiliki impor Terbesar ke Jepang di tahun 2006 ?,C
166,Dimana proklamasi kemerdekaan Indonesia berlangsung?,B
167,Apa itu Qanun?,C
168,Kapan film komersial pertama di dunia dibuat?,B
169,Mengapa nama soekarno berubah dari karna menjadi karno?,C
170,Kapankah perompak Portugis membakar permukiman di Singapura ?,C
171,Dari mana sumber keuangan pemerintahaan Palestina?,B
172,Dimanakah biasanya agama tradisional dianut ?,C
173,Kapankah catatan pertama mengenai Singapura ?,B
174,Siapa yang mendirikan koloni di new england?,B
175,Berapa banyak jumlah pemain dalam 1 tim dalam olahraga bola basket ?,B
176,Mengapa Suprijadi batal menjadi panglima TKR ?,C
177,Apa yang dibawa oleh khalifah untuk diserahkan kepada Hulagu Khan?,A
178,Apa yang dilakukan Dokter Marah sebelum Soekarno meninggal?,B
179,Dimanakah Jerman kehilangan banyak anggota militernya sepanjang perang?,B
180,Mall apa saja yang ada di poros Casablanca-Satrio?,B
181,Apa nama kerajaan bawahan kerajaan Demak di daerah Kalimantan?,C
182,Bagaimanakah pandadangan masyarakat Jepang mengenai agama ?,B
183,Selama berapa tahun Nabi Muhammad menerima ayat-ayat Qur'an?,C
184,Mengapa yandex memiliki kantor di Shanghai pada tahun 2015?,A
185,Apakah isi pokok sumpah pemuda ?,B
186,Dimana Doyoung lahir?,C
187,Siapa product manager google untuk YouTube yang diwawancarai?,C
188,Bahasa Persia biasanya dipakai untuk apa?,A
189,Berapa luas wilayah Indonesia dari Sabang sampai Merauke?,B
190,Film Ikatan Cinta mendapatkan rekor apa?,C
191,Berapa lama Soviet mendesak sekutur barat untuk menyerbu Perancis Utara?,B
192,Berapa banyak pasukan yang dikerahkan Belanda?,B
193,Berapa banyak anggota DPRGR yang diberhentikan ?,A
194,Kapan Mahmud II membubarkan korps Yanisari?,C
195,nama teknik apa yang dilakukan dengan cara memukul bola voli di atas kepala?,C
196,Mengapa para pemimpin Angkatan Darat berperang dengan setengah hati di Kalimantan?,C
197,Pada tahun berapa Pangerang Diponegoro dalam pengasingan?,B
198,Menurut siapa terjadinya pembelokan sejarah?,B
199,berapakah rakyat indonesia yang dibunuh dalam pembantaian anti-PKI  ?,C
200,Siapa yang membawa kemampuan untuk membuat senjata api sejati ke Indonesia?,A
201,Ada berapa banyak hotel berbintang di jakarta?,A
202,Kemanakah Hatta dan Syahrir dibuang oleh Belanda ?,B
203,Bagaimana kesenian Amerika pada abad ke-18 hingga awal abad ke-19?,B
204,Apa yang diharapkan jerman terhadap kubu Austria-Hongaria?,C
205,Mengapa Soemarsono lolos dari eksekusi belanda di Papua?,C
206,Apa jenis kelamin dari malaikat?,C
207,Apa yang dialami Sukirah sebelum Soeharto lahir?,C
208,Apa balasan Jepang atas serangan oleh kaum komunis Tiongkok di Tiongkok Tengah?,C
209,Pada tahun berapa BTS menghadiri Melon Music Awards?,B
210,Dimanakah Kantor Hatta saat menjadi penasehata Jepang ?,B
211,Apa ciri-ciri budaya India yang memengaruhi kaum aristokrat?,A
212,Ada berapa agama yang diakui di Indonesia?,C
213,Apa yang dimaksud dengan iman kepada malaikat?,B
214,Apa peran panakawan?,B
215,Apa program utama kabinet hatta yang justru ditolak oleh FDR?,A
216,Siapakah yang mengadakan Singapore Arts Festival ?,B
217,Peristiwa apakah yang menyebabkan tewasnya banyak penghafal Al-Qur'an pada zaman Abu Bakar?,B
218,Dimanakah kantor kedutaan asing negara-negara lain di Amerika?,B
219,Mengapa bahasa romawi menggeser sansekerta dan jawi sebagai tulisan utama?,A
220,Kapan AS mulai menjadi negara terdepan dalam riset dan inovasi teknologi?,B
221,Kapankah India menjadi mitra wicara sektoral ASEAN ?,A
222,Pada tanggal berapa negara Indonesia merdeka?,A
223,Siapakah Isaac Spratt itu?,C
224,Apa bahasa kedua terbanyak yang diajarkan di AS?,B
225,Apa saja kelompok kata kata Anglo-Prancis?,B
226,"Apa daerah yang dimasukan ke dalam wilayah kepulauan, namun masih tersambung dengan daratan benua asia?",B
227,Siapakah perdana menteri pertama Singapura ?,B
228,Kapnakah Universitas Jenderal Soedirman di purwokerto berdiri ?,C
229,Bagaimana kapal selam dibuat?,B
230,Negara manakah yang melakukan ekspor terbesar ke Jepang di tahun 2006 ?,B
231,Apa klaim yang dibuat oleh Bani Abbasiyah?,C
232,Apa tujuan dari munculnya gerakan separatis?,B
233,Siapa yang mengendalikan pemerintahan keraton?,C
234,Apa akibat dari demobilisasi TNI-Masjarakat terhadap FDR?,B
235,Kapankah PRRI dibentuk ?,B
236,Bagaimana sikap suami kartini yang disebutkan dalam surat-surat kartini?,C
237,Apakah definisi dari kebudayaan ?,A
238,Apa tugas pengadilan federal?,B
239,Apakah game Elsword yang dikembangkan oleh Nexon memiliki rate 21+?,C
240,Kapankah Soedirman tiba di desa Jambu ?,C
241,Berapa lama Soeharto berkuasa?,C
242,Apakah titik tertinggi Singapura ?,A
243,Apa yang dihasilkan dari proyek film porno tersebut?,A
244,Kapankah Musso kembali dari pengasingan ?,B
245,Apa satu-satunya perperangan yang Bulgaria kalah?,C
246,Kapan Soekarno diangkat sebagai Presiden Republik Indonesia Serikat?,C
247,Siapa yang memproklamasikan kemerdekaan Indonesia?,C
248,Mengapa soedirman berhenti dari kweekschool ?,C
249,Apakah isi legenda Gunadharma ?,A
250,Siapa Istri kelima Pangeran?,B
251,Apa yang harus dilakukan pasukan mongol jika tidak segera pulang saat angin muson tiba?,B
252,Apa zodiak orang yang lahir pada awal Desember?,B
253,Apa inisiatif yang dipelopori oleh Majapahit?,B
254,Apa nama pameran yang menampilkan karya seni modernis Eropa di New York pada tahun 1913?,B
255,Bagaimana orientasi di laut di lakukan oleh orang jawa?,C
256,Siapa yang tewas mahasiswa angkatan 1995?,C
257,Siapa yang memberikan penghargaan?,B
258,Apakah yang menyebabkan keluarnya dekret Presiden 1959 ?,A
259,Mengapa manusia berorganisasi ?,B
260,Siapa nama orang belanda yang pertama kali mendirikan pasar?,C
261,Apa saja jabatan yang pernah diemban oleh Mahfud MD?,C
262,Siapakah presiden korea selatan pada 2009 ?,B
263,Mengapa orang Yatsrib mengundang orang-orang Islam Mekkah untuk berhijrah ke Yatsrib?,B
264,Apa peran yang dimiliki minyak sawit dalam perdagangan internasional malaysia?,B
265,Apa tanda dari awalnya periode kelima?,B
266,Ketimpangan apa yang muncul seiring dengan naiknya taraf pendidikan?,C
267,Berapa banyak kah rata rata pelajaran yang dipelajari siswa Singapura ?,B
268,Kapan Presiden Soeharto lengser?,A
269,Apa sajakah faktor yang mempengaruhi perubahan sosial ?,B
270,Apa itu Syair Divan?,C
271,Siapakah puncak silsilah Nabi Muhammad yang disepakati oleh para ulama?,B
272,Berapakah jumlah ekspatriat barat di Jepang pada tahun 2003 ?,C
273,Siapa yang mengesahkan program Medicare dan Medicaid?,B
274,Dimanakah isi proklamasi disiarkan selain di radio lokal?,B
275,Apa yang menandai berakhirnya perang di Irak?,C
276,Berapakah pertumbuhan Singapura pada tahun 2004 ?,B
277,Pada tahun berapa karya Giritli diterbitkan?,B
278,Siapa penjajah terkuat yang datang ke Indonesia diantara negara Eropa lainnya?,B
279,Kapan akademi militer Bahriye tayyare Mektebi didirikan?,A
280,Apa dampak dari kebingungan ini terhadap pasukan Austria-Hongaria?,B
281,Kapankah Thomas Stamford Raffles mendarat di Singapura ?,B
282,Apa saja partai yang bekerjasama untuk mendirikan FDR?,C
283,Berapakah target pendapatan dari layanan kesehatan Singapura pada orang asing pada tahun 2012 ?,C
284,Siapakah mitra dagang utama AS?,B
285,Apakah yang diperintahakan Komite Exec pada komunis Indonesia ?,C
286,Kapankah hari Koperasi Indonesia ?,B
287,Apa bahasa daerah yang paling banyak jumlah penuturnya dan paling sering digunakan dalam kehidupan sehari-hari?,B
288,Lewat mana kah rute penyebaran Holosen-dini?,B
289,Apa perusahaan telekomunikasi terbesar di Malaysia?,B
290,Berapakah maskapai penerbangan yang ada di Bandara Changi ?,C
291,Apa saja negara yang mengalami pelebaran wilayah pasca perjanjian london?,B
292,Mengapa penyebaran Islam di Mekkah mendapat respons yang keras dan masif?,B
293,Apa nama lain dari Mark Lee?,B
294,Siapa nama asli Kiai Madja?,C
295,Dimana Pangeran Diponegoro membuat markas?,B
296,Apa nama yang sebelumnya diberikan kepada Asia Tenggara?,A
297,Pada tanggal berapa Soeharto terpilih kembali sebagai presiden ke-5 kalinya?,B
298,Siapakah yang bertugas menjadi penghubung antara manajer tim dan wasit pada pertandingan sepak bola ?,A
299,Negara manakah yang tergolong gerakan blok sosialis?,B
300,Apa yang dilakukan Jacques Abendanon sesudah Kartini meninggal dunia?,C
301,dikota apa pesta makan malam Chen? ,C
302,Daerah manakah yang tidak dikuasai kerajaan Demak di pulau Jawa?,B
303,Setelah tamat SMP Soeharto kembali kemana?,B
304,Pada tanggal berapa terjadinya gencatan senjata?,B
305,Sebutkan ras asli bangsa Indonesia,C
306,Siapa yang pemimpin Normandia di abad ke=11?,B
307,Apakah nama gunung berapi aktif yang berada didekat candi Borobudur ?,C
308,Apa nama lain dari Sentot Alibasha?,B
309,Pada tahun berapa Koloni Plymouth didirikan?,B
310,Berapa peringkat AS dalam hal pendidikan menurut PBB?,C
311,Mengapa negara modern yang menganut demokrasi perwakilan meniru romawi?,B
312,Bagaimana sikap pemerintah Belanda kepada Kartini?,B
313,Siapa yang mengajukan tututan hukum ke YouTube?,B
314,Bagaimana pengelolaan pelayanan kesehatan di kebanyakan negara maju selain AS?,B
315,berapa banyak anggota FPI yang dibunuh?,B
316,Di mana dapat ditemukan bagian cerita-cerita lisan pada zaman majapahit?,C
317,Apakah kepentingan utama RRT pada negara negara asia ?,B
318,Fenomena apakah yang pernah hampir membuat manusia punah?,C
319,Apa nama sungai terpenting?,C
320,Siapa perdana menteri kabinet RIS?,B
321,Bagaimana cara Central Intelligence Agency membunuh karakter Soekarno?,B
322,Apa yang dimaksud dengan KLIA?,B
323,Apa lagu kebangsaan Indonesia?,C
324,Berapa rasio penahanan di AS pada tahun 2008?,A
325,"Mengapa Single Jepang keempat BTS bernama ""For You""?",C
326,Siapakah perdana menteri kedua Singapura ?,C
327,Apa tujuan dari permainan jahat dari Belanda?,C
328,Bagaimana cara penyebaran agama Katolik di Indonesia pada zama dahulu?,C
329,Siapakah Pramoedya Ananta Toer itu?,C
330,Apa nama lain dari Religious Secondary School?,B
331,Apa yang diumumkan Jokowi dan Basuki kepada publik?,B
332,Kapankah Soedirman ditetapkan menjadi pahlawan nasional ?,B
333,Apa kontroversi yang kerap terjadi antara hukum negara bagian dengan hukum federal?,B
334,Apa jabatan dari Andika Perkasa?,B
335,Apa itu mandala?,C
336,Kapan Jepang menyerah pada perang dunia 2?,B
337,Siapa saja nama nama jendral Belanda yang ke Pulau Jawa?,C
338,Apa hal yang dilakukan oleh B.J. Habibie yang cukup menggemparkan publik?,B
339,Apa yang menyebabkan dunia masuk ke zaman atom?,B
340,Berapa banyak yang tewas ketika operasi penertiban dilakukan?,A
341,Apakah titik berat Pelita IV ?,B
342,Berpakah jumlah arca Buddha pada tingkat Rupadhatu ?,B
343,Berapakah lebar lapangan sepak bola dewasa menurut standar internasional ?,C
344,Siapakah kepala pasukan pertahanan Singapura ?,C
345,"Darimanakah asal kentang goreng, burrito, taco, dan pasta?",B
346,Apa ketentuan pasal 8 UUD 1945 apabila Presiden tidak dapat menjalankan kewajibannya?,B
347,Mengapa pada tahun 2020 Indonesia menempati peringkat ke-4 di dunia dalam hal jumlah penduduk?,C
348,Kapan masa keemasan pemerintahan Islam mencapai puncaknya?,C
349,Era demokrasi apa yang dilahirkan oleh Andrew Jackson?,A
350,Upaya apa yang dilakukan Polandia saat negaranya terbagi antara kekuasaan Jerman dan Uni Soiet?,C
351,Siapakah yang menamai permainan bola basket ?,C
352,Bagaimana tarif pajak penghasilan di AS dibanding negara-negara Eropa?,C
353,Apa agama lain yang dianut oleh penduduk malaysia?,B
354,Siapa badan yang mengawasi dan menstandardisasi Chinese Independent High School?,A
355,Apa kesalahan B.J Habibie saat menjabat sebagai Presiden menurut pihak oposisi?,C
356,Bagaimanakah kondisi PKI setelah 1965 ?,A
357,Pada tahun berapa bangsa Yunani menyatakan perang terhadap Sultan?,C
358,Apa yang menjadi keunggulan dari kakak Kartini?,B
359,Bagaimana strategi Jepang untuk menduduki Port Moresby?,B
360,Berapa lama masa jabatan presiden?,B
361,Pada tahun berapa masehi Nabi Muhammad memulai hijrah ke Madinah?,C
362,Apa yang harus dilalui siswa-siswi yang ingin mendapatkan tempat di universitas publik sebelum adanya sistem matrikulasi?,C
363,Terbuat dari apakah raket-raket bulu tangkis profesional saat ini?,C
364,Mengapa Sparta menggunakan cara kisaran dan berteriak dalam pengambilan suara?,B
365,Kapankah simposium Trail of Civilization berlangsung di Borobudur ?,B
366,Kapan Belanda dijajah oleh Jerman?,C
367,apa nama kabinetnya?,C
368,Apakah perbatasan utara Israel ?,A
369,Berapa lama siswa malaysia menempuh sekolah menengah kebangsaan?,B
370,Pada pertempuran apa tank pertama kali dipakai dalam perperangan?,C
371,Alat apa yang digunakan dalam permainan Battledores?,C
372,Apa yang dilakukan pemerintah Jepang untuk menanggulangi penurunan jumlah penduduk ?,B
373,Momen apa yang bertepatan dengan kemerdekaan RI?,A
374,Bagaimakah cara menggiring bola di permainan bola basket ?,B
375,Apa tujuan dari berdirinya negara Palenstina?,C
376,Siapakah kepala markas besar angkatan perang dalam ketetapan presiden yang baru ?,A
377,Darimana bendera negara Indonesia berasal?,B
378,Mengapa kongres PKI tetap bisa berjalan ?,B
379,Kapan Uni Soviet menyatakan perang terhadap Jepang?,B
380,Apakah perbatasan timur Israel ?,C
381,Siapakah ketua Budi Utomo saat terbentuk di STOVIA ?,B
382,Di manakah mantan Presiden Soeharto meninggal dunia?,C
383,Apa konsekuensi dari penganugerahan bintang kekaisaran terhadap tiga tokoh Indonesia?,B
384,Berapa banyak spesies tumbuhan berpembuluh di AS?,B
385,Strategi perang apa yang diterapkan oleh Pangeran Diponegoro?,B
386,Soeharto aktif diorganisasi apa?,B
387,Siapa nama bupati jepara sebelum ayah kartini?,B
388,Pada bagian apa modernisasi Kesultanan di abad ke-19?,C
389,Dimanakah jaringan pelatihan angkatan bersenjata singapura ?,C
390,kapan konflik youtube dengan agen koleksi serupa terjadi di Jerman?,B
391,Dimanakah leluhur jauh dari orang semang terletak?,B
392,Kapan Soeharto menjadi Kepala Staf Panglima Tentara?,B
393,Apa efek dari akun yang saat ini berada di surplus struktural?,B
394,Siapakah yang mendirikan Budi Utomo ?,B
395,Berapa peringkat Indonesia dalam hal jumlah pengguna internet pada tahun 2014?,B
396,Kapan partai Republik di AS didirikan?,C
397,Berapakah popluasi israel pada 1958 ?,B
398,Bagaimana pandangan masyarakat Bali terhadap diri mereka terkait Majapahit?,B
399,Seni apa yang memperkenalkan tradisi naturalisme Eropa di AS pada abad 19?,B
400,Kapan para migran inggris hijrah ke amerika utara?,C
401,Berapa kerugian Belanda selama perang?,B
402,Siapa orang-orang yang biasanya diberikan jabatan Paduka Bhattara?,A
403,Bagaimana Parati Kuomintang berhasil menyatukan Tiongkok?,C
404,Bagaimana penilaian orang portugis terhadap peta Jawa?,B
405,berapa banyak kunjungan pada bulan mei 2011?,B
406,Apa dampak dari diselenggarakannya konferensi asia afrika?,B
407,Apa sajakah bahasa ibu yang diajarakn di PSLE ?,B
408,Apakah fungsi bahasa secara khusus ?,A
409,Berapa peringkat AS dalam hal angka kematian bayi?,C
410,Apa slogan yang dimiliki DN Aidit sebagai pemimpin PKI?,C
411,Sejak tahun berapa Pemerintah DKI membangun mall?,B
412,Apa kegunaan kris yang menyebar ke berbagai penjuru nusantara pada zaman majapahit?,A
413,Siapakah khalifah terakhir yang mengalami masa puncak keemasan pemerintahan daulah Abbasiyah?,B
414,Berapa lama perlawanan Gerakan Aceh Merdeka melawan TNI berlangsung?,C
415,Mengapa Jepang merebut kendali mliter di Indochina selatan?,B
416,Siapa yang memberikan saran ke Pangeran atas markas di Gua Selarong?,B
417,Dimana saja pemukiman yang sudah teratur dan bersih?,B
418,Dimanakah presiden Ri Pertama dilahirkan?,B
419,Kapan Buku Han ditulis?,B
420,Siapa yang memenagkan Perang Rusia-Turki?,B
421,Apa akibat diluncurkannya program benteng ketika persaingan politik sedang tinggi?,C
422,Mengapa sejak 1965 identitas bangsa Indonesia berubah total ?,B
423,Bagaimana cara Sparta melakukan pengambilan suara dari warganya?,B
424,Berapakah periode piala dunia pertandingan sepak bola ?,B
425,Dimanakah Hatta bersekolah sewaktu di Belanda ?,B
426,Siapakah yang hampir melupakan Soekarno?,B
427,Dimana DI/TII melakukan pemberontakan?,C
428,Apa saja kota besar yang terhubung oleh Sistem Jalur Cepat Malaysia?,B
429,Kapan serah terima kabinet burhanuddin harahap dilaksanakan?,B
430,Apa tujuan invasi Jepang yang kedua?,B
431,Siapa yang menyandang gelar Girindrawardhana?,A
432,Dimanakah daerah AS yang rentan terhadap badai?,A
