id,context,question,answer,category,span_start,span_end,classification
845RUlmcCAkxZC2itV7MBh62763,"Pasal 9 Konstitusi Jepang berisi penolakan terhadap perang dan penggunaan kekuatan bersenjata untuk menyelesaikan persengketaan internasional. Pasal 9 Ayat 2 berisi pelarangan kepemilikan angkatan bersenjata dan penolakan atas hak keterlibatan dalam perang. Jepang memiliki Pasukan Bela Diri yang berada di bawah Kementerian Pertahanan, dan terdiri dari Angkatan Darat Bela Diri Jepang (JGSDF), Angkatan Laut Bela Diri Jepang (JMSDF), dan Angkatan Udara Bela Diri Jepang (JASDF). Pada tahun 1991, kapal penyapu ranjau Angkatan Laut Bela Diri Jepang ikut membersihkan ranjau laut di Teluk Persia (lepas pantai Kuwait) bersama kapal penyapu ranjau dari delapan negara. Atas permintaan Pemerintahan Transisi PBB di Kamboja (1992-1993), Jepang mengirimkan pengamat gencatan senjata, pemantau pemilihan umum, polisi sipil, dan dukungan logistik seperti perbaikan jalan dan jembatan. Di Irak, pasukan nontempur Jepang membantu misi kemanusiaan dan kegiatan rekonstruksi infrastruktur mulai Desember 2003 hingga Februari 2009.",Apa sajakah bentuk bentuk Pasukan Bela diri Jepang ,"Angkatan Darat Bela Diri Jepang (JGSDF), Angkatan Laut Bela Diri Jepang (JMSDF), dan Angkatan Udara Bela Diri Jepang (JASDF)",SPAN,354,479,B
2469wKA4zFUFpbear2IzeeA21855,"Dalam kurun waktu 1945-1950, UUD 1945 tidak dapat dilaksanakan sepenuhnya karena Indonesia sedang disibukkan dengan perjuangan mempertahankan kemerdekaan. Maklumat Wakil Presiden Nomor X pada tanggal 16 Oktober 1945 memutuskan bahwa kekuasaan legislatif diserahkan kepada KNIP, karena MPR dan DPR belum terbentuk. Tanggal 14 November 1945, dibentuk Kabinet Semi-Presidensial (Semi-Parlementer) yang pertama, sehingga peristiwa ini merupakan perubahan pertama dari sistem pemerintahan Indonesia terhadap UUD 1945.",Mengapa kekuasaan legislatif diserahkan pada KNIP ?,karena MPR dan DPR belum terbentuk,SPAN,277,312,B
1440qne5M3TJkKmQ8UE97H1P2132,"Jakarta merupakan kota dengan tingkat pertumbuhan ekonomi yang cukup pesat. Saat ini, lebih dari 70% uang negara beredar di Jakarta. Perekonomian Jakarta terutama ditunjang oleh sektor perdagangan, jasa, properti, industri kreatif, dan keuangan. Beberapa sentra perdagangan di Jakarta yang menjadi tempat perputaran uang cukup besar adalah kawasan Tanah Abang dan Glodok. Kedua kawasan ini masing-masing menjadi pusat perdagangan tekstil serta dengan sirkulasi ke seluruh Indonesia. Bahkan untuk barang tekstil dari Tanah Abang, banyak pula yang menjadi komoditas ekspor. Sedangkan untuk sektor keuangan, yang memberikan kontribusi cukup besar terhadap perekonomian Jakarta adalah industri perbankan dan pasar modal. Untuk industri pasar modal, pada bulan Mei 2013 Bursa Efek Indonesia tercatat sebagai bursa yang memberikan keuntungan terbesar, setelah Bursa Efek Tokyo. Pada bulan yang sama, kapitalisasi pasar Bursa Efek Indonesia telah mencapai USD 510,98 miliar atau nomor dua tertinggi di kawasan ASEAN.",Apa nama 2 pusat sentra perdagangan di Jakarta?,Tanah Abang dan Glodok,SPAN,348,370,B
1528MgNp15Yx30rPeZDqHZi11952,"Winwin lahir dengan nama Dong Sicheng (Hanzi: 董思成) di Zhejiang, Tiongkok pada . Pada Januari 2016, Winwin diperkenalkan sebagai anggota SM Rookies.. Winwin debut bersama NCT 127 pada tanggal 7 Juli 2016, lalu kembali debut bersama WayV pada tanggal 17 Januari 2019. Kini winwin disibukkan dengan scedule solo nya sebagai aktor di sebuah drama China yang mulai syuting.",Kapan Winwin debut dengan WayV?,17 Januari 2019,SPAN,249,264,B
23488dFrnyeZ5ef_I0UKSiz_3761,"Dalam Kejuaraan Dunia BWF, pertama kali diadakan pada tahun 1977, saat ini peringkat tertinggi hanya 64 pemain di dunia, dan maksimal empat dari masing-masing negara, dapat berpartisipasi dalam setiap kategori. Dalam kedua kompetisi Olimpiade dan BWF, pembatasan jumlah peserta dari satu negara telah menyebabkan beberapa kontroversi karena terkadang menyebabkan mereka tidak termasuk pemain elit tingkat dunia dari negara bulu tangkis terkuat. Piala Thomas, Uber, Sudirman, Olimpiade, dan BWF (dan Kejuaraan Dunia Junior BWF), semuanya dikategorikan sebagai tingkat turnamen yang sama.",Kapan kejuaran dunia BWF pertama kali dilaksanakan?,1977,SPAN,60,64,A
1972yAEf1nBlvyHW4FzECBk52251,"Pada November 1914, Kesultanan Utsmaniyah ikut serta dalam Perang Dunia I di blok Kekuatan Tengah. Kesultanan ini ambil bagian dalam teater Timur Tengah. Utsmaniyah sempat beberapa kali menang pada tahun-tahun pertama perang, misalnya di Pertempuran Gallipoli dan Pengepungan Kut, namun ada juga kekalahan seperti pada Kampanye Kaukasus melawan Rusia. Amerika Serikat tidak pernah mengeluarkan pernyataan perang terhadap Kesultanan Utsmaniyah.",Kapan Kesultanan Utsmaniyah ikut terlibat Perang Dunia I?,November 1914,SPAN,5,18,B
1752E5XokYRzRxCMWKU2kTp-3547,"Pada tanggal 11 September 2001, teroris al-Qaeda menabrakkan pesawat bajakan ke World Trade Center di New York City dan The Pentagon di dekat Washington, D.C., menewaskan hampir tiga ribu orang. Sebagai tanggapan, pemerintahan Bush melancarkan perang global melawan terorisme, menyerang Afganistan, menyingkirkan pemerintahan Taliban, dan memburu al-Qaeda ke kamp-kamp pelatihan. Namun Taliban terus mengobarkan perang gerilya. Pada tahun 2003, pemerintahan Bush memulai invasi untuk mengubah rezim di Irak dengan alasan yang kontroversial.",Apa tujuan dari perang Amerika melawan Afganistan?,menyingkirkan pemerintahan Taliban,SPAN,299,333,C
2574e_nCnMlZf6mrQzmO3LZo2447,"Ketika ditangkap dan akan diasingkan ke Manado dengan menggunakan Kapal Pollux, kondisi Pangeran Diponegoro sudah dalam keadaan lemah, muntah-muntah akibat mabuk laut, dan terkena sakit Malaria. Di atas kapal, Letnan Knooerle, yang merupakan ajudan dari Gubernur Jenderal van den Bosch (arsitek Tanam Paksa), mengawal pengasingan Diponegoro. Sering kali mereka berdua terlibat dalam percakapan dan salah satu percakapannya adalah ketika Diponegoro mempertanyakan kepada Knoorle, apakah sudah menjadi kebiasaan bangsa Eropa untuk mengasingkan pemimpin yang kalah perang ke sebuah pulau terpencil yang jauh dari sanak saudaranya. Mendapat pertanyaan itu, Knoorle menjawab bahwa Pangeran Diponegoro diperlakukan sama dengan Napoleon Bonaparte, yang sama-sama diasingkan dalam usia 40 tahunan. Knoorle mengatakan pemerintahan Hindia Belanda tidak ingin peristiwa Napoleon yang ditangkap dan diasingkan ke Pulau Elba berhasil kabur dan memimpin perang lagi lalu berhasil dikalahkan sehingga dibuang ke pulau yang lebih terasing lagi, yakni St Helena hingga wafat.",Siapa ajudan dari Gubernur Jendral van den Bosch?,Letnan Knooerle,SPAN,210,225,B
1235m-89f-L_U28rNQ1Twz073053,Hasrat Amerika untuk memperluas wilayahnya ke arah barat memicu berkobarnya serangkaian peperangan dengan bangsa Indian. Pembelian Louisiana dari Prancis oleh Presiden Thomas Jefferson pada 1803 memperluas wilayah Amerika Serikat hampir dua kali lipat dari ukuran sebelumnya. Perang 1812 untuk menyingkirkan pengaruh Inggris semakin memperkuat nasionalisme Amerika Serikat. Serangkaian serangan militer AS ke Florida membuat Spanyol menyerahkan koloni-koloninya di Pantai Teluk kepada Amerika Serikat pada tahun 1819.,Bangsa apakah yang berperang dengan Amerika Serikat?,bangsa Indian,SPAN,106,119,B
924h9Ft9SWd5mJ8NvTErCl72555,"Dasar hukum pelaksanaan Dwifungsi ABRI di antaranya yakni Ketetapan MPR, yaitu sejak TAP MPR(S) No. II Tahun 1969 hingga TAP MPR No. IV Tahun 1978. Selain itu, dasar hukumnya yakni Undang-Undang (UU) No. 15 dan 16 tahun 1969 yang diperbarui menjadi UU No. 4 dan 5 tahun 1975. Pengukuhan peran ABRI sebagai kekuatan sosial politik ditegaskan  dalam UU No. 20 Tahun 1982. Dalam penjelasan pasalnya disebutkan bahwa prajurit ABRI dalam bidang sosial politik bertindak selaku dinamisator dan stabilisator. Peran dinamisator sebenarnya telah diperankan ABRI sejak zaman Perang Kemerdekaan. Waktu itu Jenderal Soedirman telah melakukannya dengan meneruskan perjuangan, walaupun pemimpin pemerintahan telah ditahan Belanda. Demikian juga halnya yang dilakukan Soeharto ketika menyelamatkan bangsa dari perpecahan setelah Gerakan 30 September, yang melahirkankan Orde Baru.",Apakah peran dinamisator yang dilakukan oleh Soeharto ?,menyelamatkan bangsa dari perpecahan setelah Gerakan 30 September,SPAN,769,834,B
1449K8ANCJR2kfhz2B8KAAgg2114,"Angka ini tidak jauh berbeda dengan keadaan pada tahun 1980, di mana umat Islam berjumlah 84,4%, diikuti oleh Protestan (6,3%), Katolik (2,9%), Hindu dan Budha (5,7%), serta Tidak beragama (0,3%) Menurut Cribb, pada tahun 1971 penganut agama Konghucu secara relatif adalah 1,7%. Pada tahun 1980 dan 2005, sensus penduduk tidak mencatat agama yang dianut selain keenam agama yang diakui pemerintah.","Menurut Cribb, berapa banyak penganun agama Konghucu di Indonesia di tahun 1971?","1,7%",SPAN,273,278,B
2563vdW9TuW9KxwiRSmdl72r2463,"Sikap manis ditunjukkan De Kock kepada Pangeran Diponegoro dengan memberikan hadiah seekor kuda berwarna abu-abu dan uang f 10.000 yang dicicil dua kali untuk membiayai para pengikutnya selama bulan puasa. Bahkan, De Kock mengizinkan istri sang Pangeran, ibunya, kedua putra dan putrinya yang masih kecil, yakni Raden Mas Joned dan Raden Mas Raib, putra tertuanya bersama panglima Diponegoro di Kedu Utara, Basah Imam Musbah, hadir dan bergabung di Magelang.",Apa yang diberikan oleh De Kock ke Pangeran Diponegoro selama bulan puasa itu?,eekor kuda berwarna abu-abu dan uang f 10.000 yang dicicil dua kali untuk membiayai para pengikutnya selama bulan puasa,SPAN,84,204,C
9171SqPvS4Y9VVB9rn93Vi-2574,"Sejak awal berkuasa, pemerintah Orde Baru menitikberatkan fokusnya pada pengembangan sektor pertanian karena menganggap ketahanan pangan adalah prasyarat utama kestabilan ekonomi dan politik. Sektor ini berkembang pesat setelah pemerintah membangun berbagai prasarana pertanian seperti irigasi dan perhubungan, teknologi pertanian, hingga penyuluhan bisnis. Pemerintah juga memberikan kepastian pemasaran hasil produksi melalui lembaga yang diberi nama Bulog (Badan Urusan Logistik).",Apakah nama lembaga pemerintah yang memberikan kepastian pemasaran hasil ?,Bulog (Badan Urusan Logistik),SPAN,453,483,C
27065ZHgP-paSB5ljBAmKla_949,"Penyebab jangka panjang perang ini mencakup kebijakan luar negeri imperialis kekuatan besar Eropa, termasuk Kekaisaran Jerman, Kekaisaran Austria-Hongaria, Kesultanan Utsmaniyah, Kekaisaran Rusia, Imperium Britania, Republik Prancis, dan Italia. Pembunuhan tanggal 28 Juni 1914 terhadap Adipati Agung Franz Ferdinand dari Austria, pewaris takhta Austria-Hongaria, oleh seorang nasionalis Yugoslavia di Sarajevo, Bosnia dan Herzegovina adalah pencetus perang ini. Pembunuhan tersebut berujung pada ultimatum Habsburg terhadap Kerajaan Serbia. Sejumlah aliansi yang dibentuk selama beberapa dasawarsa sebelumnya terguncang, sehingga dalam hitungan minggu semua kekuatan besar terlibat dalam perang; melalui koloni mereka, konflik ini segera menyebar ke seluruh dunia.",Apa saja negara yang termasuk ke dalam kekuatan besar eropa?,"Kekaisaran Jerman, Kekaisaran Austria-Hongaria, Kesultanan Utsmaniyah, Kekaisaran Rusia, Imperium Britania, Republik Prancis, dan Italia",SPAN,108,244,A
542GY7OjClDyzNlztIK-dOQ282,"Indonesia, disebut juga dengan Negara Kesatuan Republik Indonesia (NKRI) atau hanya Republik Indonesia (RI) adalah negara di Asia Tenggara yang dilintasi garis khatulistiwa dan berada di antara daratan benua Asia dan Oseania, serta antara Samudra Pasifik dan Samudra Hindia. Indonesia adalah negara kepulauan terbesar di dunia yang terdiri dari 17.504 pulau. Nama alternatif yang biasa dipakai adalah Nusantara. Dengan populasi mencapai 270.203.917 jiwa pada tahun 2020, Indonesia menjadi negara berpenduduk terbesar keempat di dunia dan negara berpenduduk Muslim terbesar di dunia, dengan penganut lebih dari 230 juta jiwa.",Nama lain Indonesia yang dicetuskan oleh patih Gajah Mada,Nusantara,SPAN,401,410,A
2135JNizCTqBzs-NkJ-0GhnT1406,"Pemerintahan Taliban digulingkan oleh Amerika Serikat karena dituduh melindungi pemimpin Al Qaeda Osama Bin Laden yang juga dituduh Washington mendalangi serangan terhadap menara kembar WTC, New York pada tanggal 11 September 2001 bekerja sama dengan kubu Aliansi Utara. Invasi ini dimulai pada bulan Oktober sampai dengan bulan November 2001 dengan secara mengejutkan sehingga pihak Taliban langsung keluar dari ibu kota Afganistan, Kabul sehingga pihak Amerika relatif cepat dan mudah menguasainya. Sejak 2001, pasukan Amerika dan negara sekutu yang lain seperti Britania Raya dan Jerman mulai menduduki Afganistan untuk menumpas Taliban dan membantu menjaga keamanan negara.",Kapankah serangan pada WTC terjadi ?,11 September 2001,SPAN,213,230,A
1021PPK-R-xW8kEi9x6y3ozh353,"Sebagai negara maju di bidang ekonomi, Jepang memiliki produk domestik bruto terbesar nomor dua setelah Amerika Serikat, dan masuk dalam urutan tiga besar dalam keseimbangan kemampuan berbelanja. Jepang adalah anggota Perserikatan Bangsa-Bangsa, G8, OECD, dan APEC. Jepang memiliki kekuatan militer yang memadai lengkap dengan sistem pertahanan modern seperti AEGIS serta skuat armada besar kapal perusak. Dalam perdagangan luar negeri, Jepang berada di peringkat ke-4 negara pengekspor terbesar dan peringkat ke-6 negara pengimpor terbesar di dunia. Sebagai negara maju, penduduk Jepang memiliki standar hidup yang tinggi (peringkat ke-8 dalam Indeks Pembangunan Manusia) dan angka harapan hidup tertinggi di dunia menurut perkiraan PBB. Dalam bidang teknologi, Jepang adalah negara maju di bidang telekomunikasi, permesinan, dan robotika.",Siapa negara dengan nilai ekspor terbesar ke-4?,Jepang,SPAN,437,443,B
2130h876xzkpp7t6b6OH4mTG1419,"Opini modern yang berkembang di Indonesia mengenai Soedirman cenderung berupa pujian. Sardiman, seorang profesor sejarah di Universitas Negeri Yogyakarta, menulis bahwa Soedirman hidup sebagai pembicara seperti Soekarno, yang dikenal karena pidatonya yang berapi-api, dan pemimpin yang berbakti dan tidak bisa disuap. Sejarawan Indonesia dan Menteri Pendidikan dan Kebudayaan Nugroho Notosusanto menggambarkan Soedirman sebagai satu-satunya idolanya , menyatakan bahwa masa-masa gerilya sang jenderal adalah asal esprit de corps TNI. Kampanye gerilya Soedirman lebih ditekankan dalam biografinya karena pada masa ini, angkatan perang memiliki peran yang lebih besar jika dibandingkan dengan pemimpin politik di pengasingan. Sejak 1970-an, semua taruna militer harus menelusuri kembali rute gerilya Soedirman sepanjang sebelum lulus dari Akademi Militer, bentuk ziarah yang bertujuan untuk menanamkan rasa perjuangan. Makam Soedirman juga menjadi tujuan ziarah, baik dari kalangan militer ataupun masyarakat umum. Menurut Katharine McGregor dari Universitas Melbourne, militer Indonesia telah memuliakan status Soedirman menjadi semacam orang suci.",Siapakah yang mengklaim Soedirman hidup sebagai pembicara seperti Soekarno ?,Sardiman,SPAN,86,94,B
884P0H0QPSGbW5zK2GVDAY02661,"Sepuluh Perintah Tuhan ini terdapat juga di dalam . Kitab Ulangan memuat perbedaan penandaan dengan yang dicatat Keluaran. Dalam Kitab Keluaran dikatakan bahwa perintah untuk merayakan hari Sabat untuk mengingatkan berhentinya pekerjaan Penciptaan. Allah sendiri bekerja selama enam hari dalam menciptakan langit, bumi dan segala isinya, dan pada hari yang ketujuh Allah berhenti mencipta dan memberkati hari itu . Dalam Kitab Ulangan, perayaan hari Sabat untuk mengingatkan kisah pembebasan Israel dari perbudakan di Mesir. Hari Sabat harus dirayakan untuk memberikan kesempatan beristirahat kepada setiap hewan yang ada karena bangsa Israel sendiri pun dulunya adalah bangsa budak yang kemudian diberikan kebebasan oleh Allah. Karena itu, sekarang Israel pun dilarang memperbudak orang lain, dan makhluk lainnya .",Apakah tafsiran perintah merayakan hari sabat pada kitab Keluaran ?,untuk mengingatkan berhentinya pekerjaan Penciptaan,SPAN,196,247,B
1192qu70aQV6bzoD2MwG1aT83180,"Dalam bidang optikal Abu Ali al-Hasan ibn al-Haitsami, yang di Eropa dikenal dengan nama Alhazen, terkenal sebagai orang yang menentang pendapat bahwa mata mengirim cahaya ke benda yang dilihat. Menurut teorinya yang kemudian terbukti kebenarannya bendalah yang mengirim cahaya ke mata. Di bidang kimia, terkenal nama Jabir ibn Hayyan. Dia berpendapat bahwa logam seperti timah, besi dan tembaga dapat diubah menjadi emas atau perak dengan mencampurkan suatu zat tertentu. Di bidang matematika terkenal nama Muhammad ibn Musa al-Khawarizmi, yang juga mahir dalam bidang astronomi. Dialah yang menciptakan ilmu aljabar. Kata aljabar berasal dari judul bukunya, al-Jabr wa al-Muqoibalah. Dalam bidang sejarah terkenal nama al-Mas udi. Dia juga ahli dalam ilmu geografi. Di antara karyanya adalah Muuruj al-Zahab wa Ma aadzin al-Jawahir.",Apa pendapat yang ditentang oleh Abu Ali al-Hasan?,mata mengirim cahaya ke benda yang dilihat,SPAN,151,193,B
604BaVh8B5igEaFS0x8dDlu99,"Indonesia memiliki sekitar 300 kelompok etnis, tiap etnis memiliki warisan budaya yang berkembang selama berabad-abad, dipengaruhi oleh kebudayaan India, Arab, Tiongkok, Eropa, dan termasuk kebudayaan sendiri yaitu Melayu. Contohnya tarian Jawa dan Bali tradisional memiliki aspek budaya dan mitologi Hindu, seperti Wayang Kulit yang menampilkan kisah-kisah tentang kejadian mitologis Hindu Ramayana dan Baratayuda. Banyak juga seni tari yang berisikan nilai-nilai Islam. Beberapa di antaranya dapat ditemukan di daerah Sumatra seperti tari Ratéb Meuseukat, Tari Saman, dan tari Seudati dari Aceh.",Budaya asing apa saja yang masuk ke Indonesia dan mempengaruhi warisan budaya beberapa etnis?,"India, Arab, Tiongkok, Eropa",SPAN,147,175,B
2670fxp2HMG8cuSsty0VDUYi1051,"Sebagai tambahan, sejumlah wilayah yang substansial diperlakukan sebagai hutan produksi (silvikultur) dan upaya penghutanan kembali terhadap lahan hutan sudah dilakukan. Pemerintah Malaysia merencanakan pengayaan tanah seluas 312,30 kilometer persegi dengan rotan di bawah kondisi hutan alami dan di sela-sela tanaman karet alami sebagai komoditas panen perantara. Untuk terus memperkaya sumber-sumber hutan, spesies damar yang cepat-tumbuh seperti meranti tembaga , merawan dan sesenduk juga ditanam. Pada saat yang sama, penuaian pohon-pohon berharga tinggi seperti jati dan pohon lainnya untuk dijadikan pulp dan kertas juga dianjurkan. Karet, pernah menjadi arus utama ekonomi Malaysia, kini digantikan oleh minyak sawit sebagai komoditas ekspor utama pertanian Malaysia.",Apa tujuan penanaman spesies damar yang cepat pertumbuhannya?,terus memperkaya sumber-sumber hutan,SPAN,371,407,B
22218q38c0YRb2JXvtSd0Nqf4044,"Pertarungan politik juga merambah ke media sosial dengan peluncuran Jasmev, pembentukan media center , serta pemanfaatan media baru seperti Youtube. Putaran kedua juga diwarnai tudingan kampanye hitam yang antara lain berkisar dalam isu SARA, isu kebakaran yang disengaja, korupsi, dan politik transaksional. Pada 29 September 2012, KPUD DKI Jakarta menetapkan pasangan Jokowi - Ahok sebagai gubernur dan wakil gubernur DKI yang baru untuk masa bakti 2012 – 2017 menggantikan Fauzi Bowo - Prijanto.",Apa saja isu yang menyebar dalam kampanye hitam?,"isu SARA, isu kebakaran yang disengaja, korupsi, dan politik transaksional",SPAN,233,307,B
