id,question,answer,category,classification
2062pqfFSy4vUpvOqO0esuQx1613,Apakah naskah Jawa Kuno yang mungkin menuliskan mengenai candi Borobudur ?,Nagarakretagama,SPAN,B
717GIQkXVVB0r9TgF9XjTKs2834,Kapan Sidang Umum MPR yang melantik Soeharto diperiode ketiga?,1 Maret 1983,SPAN,C
2497_yB250Kp0G5hx_qYaSQz1789,Dimanakah pemberontakan terjadi pada februari 1958 ?,Sumatra dan Sulawesi,SPAN,B
1532_kh1mDAMXkYl6yf_Pv1J1940,Dimana Xiao De Jun lahir?,"Guangdong, Tiongkok",SPAN,B
2080wcuzvVTZwQpYTe_xQ8731560,Kapankah pemugaran besar besaran dilakukan pada candi Borobudur ?,pada 1973,SPAN,B
2562mR0gHty9fugk4dVk181r2464,Apa yang disetujui oleh De Kock dan Pangeran Diponegoro saat bulan Ramadhan di tahun 1830?,selama pertemuan di bulan puasa tidak akan ada diskusi yang serius dan hanya ramah tamah biasa hingga bulan Ramadhan berakhir,SPAN,B
1208ZxTFiASsvA8kMOYqhRyK3132,Gerakan apa yang menggoda rasa keimanan para khalifah?,gerakan Zindiq,SPAN,B
904jIjVFDOK0pRjFHCWbvJn2614,Dimanakah piala dunia pertama kali diselenggarakan ?,di Uruguay,SPAN,C
2664AqK615zaJ_528hvbvtPb1071,Apa saja daerah yang tercakup oleh Jalur Motor Utama?,"terentang dari ujung utara dan selatan Semenanjung Malaysia, masing-masing di Bukit Kayu Hitam dan Johor Bahru",SPAN,C
2169wN0winsrY_i_g0bAhQG-4173,Kapan pengaruh majapahit di nusantara mulai berkurang?,Pada akhir abad ke-14 dan awal abad ke-15,SPAN,B
2972A0AdM2WI3crvQdFxrqCd3928,Kemanakah ratusan ribu militer Polandia diungsikan?,ke Rumania dan negara-negara Baltik,SPAN,B
2173fu4XUTuowr7JXVT_qKR14162,Apa peristiwa yang menyebabkan kekuatan kerajaan Islam mengalahkan majapahit?,atuhnya Daha yang dihancurkan oleh Demak,SPAN,C
1194VOJh4dS-MXoenYLMn-a13174,Siapa ahli filsafat Yunani yang terkenal di Eropa?,Aristoteles,SPAN,A
2344eMszMywnP_KtAXxgyVLS3770,Apa salah satu keunggulan serat karbon sebagai bahan dasar raket?,memberi perpindahan energi kinetik yang hebat,SPAN,C
2202VQfjd1RqAXVO4ucrNNUA4091,Siapa saja nama raja yang menggunakan gelar Girīndrawarddhana ?,"Dyah Wijayakarana, Dyah Wijayakusuma dan Dyah Ranawijaya",SPAN,C
601ThCJk5zYjSXGup71iHM5105,Berapa alokasi APBN dan APBD untuk pendidikan?,20%,SPAN,A
2219TDRURokHX0rVp0aN741O4049,Mengapa Prabowo Subianto melobi PDI Perjuangan agar mendukung Jokowi?,karena membutuhkan 9 kursi lagi untuk bisa mengajukan calon gubernur,SPAN,B
652EU8b_0799Xp7ZExvB6D12996,Kapan youtube membuka layanan sewa film online?,Januari 2010,SPAN,B
596zM0R2OmIzgkB1SbT2GQk122,Agama apakah yang memiliki sejarah erat dengan agama Hindu di Indonesia?,Agama Buddha,SPAN,A
2628284lX5xJUbHwtCr3OcHt2341,Apa yang dikatakan oleh Andi tentang SBY?,"bahwa sejak saat menjadi remaja di Pacitan, SBY sudah gemar melukis",SPAN,C
1464zJl2AsUmWqzyQ5UMyZIu2084,Museum dan tugu apa saja yang disebutkan dalam paragraf tersebut?,"Museum Gajah, Museum Fatahillah, dan Monumen Nasional",SPAN,A
2119fyRyssk_Wje72wdKEvRB1450,Kapankah soedirman jatuh pingsan ?,5 Oktober 1948,SPAN,B
2011BmOhqTJO6XDvfA1PRl622189,Apa itu aturan sec?,prosa berima,SPAN,C
1143y4HvMRUYirASrnijdFdG3320,melalui pemilihan apa Soeharto memenangkan jangka lima tahun berikutnya?,electoral college,SPAN,B
11609Jmtcj6mL4_qZoKMrsvu3271,Sosok apa yang melekat kepada B.J. Habibie sebelum beliau menjabat sebagai Presiden?,seorang profesor dan ilmuwan dalam teknologi aviasi internasiona,SPAN,B
2512lEhovFhT11eis4TwjWj61755,Siapakah yang menentang keras usulan wahid ?,"UUD 1945 Indonesia, yang tidak melarang atau bahkan secara khusus menyebutkan komunism",SPAN,A
10219JfXeEWLn2dqWpvyeBX-351,Apa saja organisasi yang diikuti oleh Jepang?,"Perserikatan Bangsa-Bangsa, G8, OECD, dan APEC",SPAN,A
591ltVD7_6Ehvx3qb3tWALB135,Berapa banyak suku yang ada di Indonesia?,1.340,SPAN,B
991UJ4U1LRmAW5-f92M6LsY428,Apa bentuk karya yang menampilkan sosok bung karno?,"perfilman, hiburan televisi, dan panggung teater",SPAN,B
1827dyfhitJTrUGC7j5L4f793368,Bagaimana gaya musik Afrika-Amerika?,ritmis dan liris,SPAN,B
25901E2zSJQfs-GE-OfTyHNi2415,Apa nama klasik wilayah Palestina?,Kan’an,SPAN,B
2390BO24hCThZGRINh8VZEwX3669,Apa yang digunakan umat Muslim untuk memahami makna Al-Qur'an?,tafsir,SPAN,A
862Cr4hD-1x_y9yIeSe1h542712,Kapankah kebudayaan Eropa mulai menonjol di Jepang ?,Sejak abad ke-16,SPAN,B
919Uw0PTYP2s2ybeSXUEbBL2567,Apa sajakah upaya pemerintah untuk memeratakan kesejahteraan penduduk ?,"program-program penyediaan kebutuhan pangan, peningkatan gizi, pemerataan pelayanan kesehatan, keluarga berencana, pendidikan dasar, penyediaan air bersih, dan pembangunan perumahan sederhana",SPAN,B
26420KhWf9GaN3cEHDl39Qxn1125,Apa tujuan operasi gerilya dari partai komunis malaysia?,mengusir Britania dari Malaya,SPAN,B
2999clBojzrphxraymsqv1j23864,Dimanakah Operasi Crusader dilancarkan?,Afrika Utara,SPAN,B
2153UUzYIXrndLZzzxsDO5Gh4216,Darimana Wali Songo berasal menurut Muhammad Al Baqir?,Hadramaut (Yaman),SPAN,B
1603mLkIXwPW7Y21tE83oCqe1229,Kapankah Budi Utomo mulai dipimpin tanpa bidang politik ?,selama periode 1908-1926,SPAN,C
1177mo9QxepXvRmIEbov-3wB3225,Apa yang diincar oleh propagandis tersebut?,orang yang menentang kezaliman pemerintahan Bani Umayah,SPAN,B
2163prpiVkHoWAkyQR6_xuQb4190,Siapa yang menjadi ratu majapahit setelah Jayanegara?,Tribhuwana Wijayatunggadewi,SPAN,B
1224ZpkYHN34yzQX3zAz1Drn3083,Apa bentuk pendek dari The United States of America?,United States (Negara-Negara Serikat),SPAN,C
3017aHeDCc1uLRI2rnBry2uw3823,"Dimanakah pasukan Jepang dikalahkan oleh Britania, Amerika, dan Tiongkok?",Burma utara,SPAN,B
25185MAzxodWaNF6paGbye9m1739,Apakah tanah Israel dalam bahasa Ibrani ?,Eretz Yisrael,SPAN,B
1775dGCKacaEaf4vXnKBh4Rd3489,Berapa banyak pasukan cadangan dan Garda Nasional yang dimiliki oleh AS?,"2,3 juta tentara",SPAN,B
1971wAtIPOivQQGrt9-QMXKx2252,Pada tahun berapa Britania raya mendapatkan hak pemerintahan di Siprus?,1878,SPAN,A
1540XOXCHVXRJvkaumygGWEP1392,Ke manakah kakek Mohammad Hatta ingin menyekolahkan Mohammad Hatta ?,ke Mesir,SPAN,C
1018RR7R37EFe6-6a8ByqX6L362,Apa yang terletak di Laut Tiongkok Timur?,kelompok pulau-pulau kecil,SPAN,C
1581m_4FT3wjNv2nkp7_WsVw1287,Siapakah wakil Wakil panglima TNI ?,Jenderal Mayor A.H. Nasution,SPAN,C
92118qkl9UIQgFwOHU-Q5hF2561,Mengapa pemerintah orde baru melakukan penyederhanaan partai politik ?,dalam upaya menciptakan stabilitas kehidupan berbangsa dan bernegara,SPAN,C
1807ETR83rfS--7HO_UVPZIY3419,Apa bahasa resmi yang digunakan di AS?,Bahasa Inggris (Inggris Amerika),SPAN,A
9022NBdayPGc6_3kCdKoIiQ2620,Siapakah yang berada paling depan saat memasuki lapangan sepak bola ?,atribut b,SPAN,C
18135ObI1qm9GGBQEi88mvkH3404,Berapa angka kehamilan remaja di AS?,"79,8 per 1.000 wanita",SPAN,B
14135nOR58ZI6lSglpLLKJLs648,Apa harapan yang tersurat dalam surat-surat kartini?,memperoleh pertolongan dari luar,SPAN,C
1221TiO8JJQ-vOfSQxVla7zq3093,Bagaimanakah perekonomian nasional Amerika Serikat pada akhir abad ke-19?,merupakan perekonomian termaju di dunia,SPAN,B
684byYz4orMrh60-Fxhgy3n2915,kenapa karya M. Yamin ditolak?,menyertakan sinar-sinar matahari yang menampakkan pengaruh Jepang,SPAN,C
2586yn1AwEdGYBYrySuVMaKy2424,Apa saja bentuk penghormatan terkait jasa-jasa Diponegoro melawan penjajah?,"kota-kota besar di Indonesia banyak yang memiliki nama Jalan Pangeran Diponegoro, seperti di Kota Semarang terdapat nama Jalan Pangeran Diponegoro, Stadion Diponegoro, Universitas Diponegoro (Undip), dan Kodam IV/Diponegoro. Selain itu, ada beberapa patung yang dibuat sebagai penghargaan, seperti Patung Diponegoro di Undip Pleburan, Patung Diponegoro di Kodam IV/Diponegoro dan di pintu masuk Undip Tembalang",SPAN,C
629HsNl5Qf3THUq_CbmFrSx29,Mengapa para pejuang muda menculik Soekarno dan Hatta ke Rengasdengklok?,agar Soekarno dan Hatta tidak terpengaruh oleh Jepa,SPAN,C
723ytGpHPbjoavIcmlhSSPx2819,apa yang di quote dalam paragraf diatas dalam pidato Soeharto?,"“Jika pembangunan di bidang pangan ini dinilai berhasil, itu merupakan kerja raksasa dari seluruh bangsa Indonesia,",SPAN,A
2713hk0M98quNxBe6DeLFCcS931,Apa efek dari aneksasi yang dilakukan oleh Austria-Hongaria pada Bosnia?,"Kerajaan Serbia dan pelindungnya, Kekaisaran Rusia yang Pan-Slavik dan Ortodoks berang",SPAN,C
1469nqp1NXhfX10HhPcrdOO62071,Pasar Rebo berubah menjadi nama apa?,Pasar Induk Kramat Jati,SPAN,B
2230tSU7QgNiYBltnZLJbQC34019,Apa bentuk pembangunan infrastruktur di Papua pada masa Jokowi?,pembangunan pasar tradisional dan jalan lintas Papua,SPAN,C
2595p6qxVIXlogFl1fTrX8fj2403,Siapa yang memenangkan perang Ajnadid?,pasukan muslim di bawah panglima perang Abu Ubaidah dan Khalid bin Walid,SPAN,B
1191W0USQS58Z6BFE4WkQ-h53184,Siapakah yang dikenal dalam bidang kedokteran?,ar-Razi dan Ibnu Sina,SPAN,C
2651W9hIkNcmdRVAlG6zUyLS1104,Siapa yang menjalankan kekuasaan eksekutif di Malaysia?,kabinet yang dipimpin oleh perdana menteri,SPAN,C
653EYaIRqmXIngKYek45pE52994,Berapa banyak video perharinya pada bulan mei 2010?,dua miliar video,SPAN,C
918WklZmO3jLsn_Z70OZLWg2572,Berapakah produksi beras per jiwa Indonesia pada tahun 1992 ?,"154,0 kg per jiwa",SPAN,B
614qvZZNRxxpBg3ucW1nsPI74,Makanan apakah yang disajikan oleh Rumah Masakan Padang?,nasi Padang,SPAN,B
1968sByqQLQlZjFcJMPFrHff2258,Apa yang menyebabkan kemajuan siswa Muslim terus melambat?,dikarenakan lamanya waktu mata pelajaran bahasa Arab dan teologi Islam,SPAN,C
686OvLyPUvXUe5IOzEyV6ef2909,kapan tanggal diresmikannya lambang garuda?,11 Februari 1950,SPAN,B
1461b77FDHPFXFe4yi5Nhcwr2091,Berapa banyak kursi PDIP pada periode 2014-2019?,25 kursi,SPAN,C
27240PkmgWqz5j9_Fq0dxZCZ901,Apa hal yang akhirnya disadari oleh pihak Britania dan Prancis?,mereka menghadapi pasukan parit Jerman dari Lorraine sampai pesisir Belgia,SPAN,A
1586xdhd1pR6S0dzxj9ovgft1274,Kapankah megawati mengirimkan surat pencalonan panglima TNI ke DPR ?,8 Oktober 2004,SPAN,B
564nvWBMTyMNmhonDBcxkha218,Siapa yang memenangkan pemilu 2004?,Susilo Bambang Yudhoyono,SPAN,B
2540fNbixvF2zJt8p9UgqNRm2509,Siapa nama Sunan yang mendukung Pangerang Diponegoro?,Sunan Pakubuwono VI,SPAN,C
19576albE3jQTwnzltPL9x4p2283,Dalam pertempuran apa Krimea gagal menyerang Moskwa?,Pertempuran Molodi,SPAN,B
844px1jLdiF9yixa41UdsW72765,Kapan Pakta pertahanan Jepang dan India ditandatangani ?,Oktober 2008,SPAN,B
1438GBcsCGsIXBK4Ri5BDA7-2136,Proyek proyek besar apa saja yang dilakukan diera Soekarno?,"Gelora Bung Karno, Masjid Istiqlal, dan Monumen Nasional",SPAN,C
1626CdTndjDZja_pRT6QKy_T1162,Apakah fokus utama survei yang dilakukan oleh PERC ?,eksekutif bisnis ekspatriat,SPAN,B
2377P4XI1eWxdwx2SZ4FBFGz3694,Dimanakah orang-orang Yatsrib menemui Nabi Muhammad untuk menyatakan diri masuk Islam?,Aqabah,SPAN,B
1237-igIa0nSFzHyYKR3NSy73049,Apa akibat dari kekalahan Meksiko terhadap Amerika Serikat dalam Perang Meksiko-Amerika?,Meksiko menyerahkan California,SPAN,C
26841mPx1AI7j2kbUYe2rpkX1009,Apa saja universitas publik yang tersedia di malaysia?,"Universitas Malaya, Universitas Sains Malaysia, Universitas Putra Malaysia Universitas Teknologi Malaysia, Universitas Teknologi Mara, dan Universitas Kebangsaan Malaysia",SPAN,B
2651TkmXlqXOnvvNj8XwRj8y1102,Bagaimana kriteria perdana menteri yang tercantum dalam konstitusi malaysia?,"haruslah anggota dewan rendah (Dewan Rakyat), yang direstui Yang di-Pertuan Agong dan mendapat dukungan mayoritas di dalam parlemen",SPAN,C
2515f1PtJHMiB1tlaUewaK_M1748,Apa sajakah perbatasan Israel ?,"aut Tengah, Lebanon, Suriah, Yordania, Mesir dan gurun pasir Sinai",SPAN,A
2074N9UKFJMXP9zlp3kGmFLm1578,Apakah bagian candi Borobudur yang sering dicuri ?,Kepala arca Buddha,SPAN,B
2737g-gZdm-sJQvvj93e0dsn862,Apa yang berhasil dilakukan Kesultanan Utsmaniyah di Gallipoli?,"mengusir Britania, Prancis, dan Korps Angkatan Darat Australia dan Selandia Baru (ANZAC)",SPAN,C
1209gLLe3Hw31X00Jkrt9Bb-3130,Apa perintah Al-Mutawakkil terhadap makam Husain bin Ali di Karbala?,dihancurkan,SPAN,B
20271DZtHLqghVOFTovejUu02159,Siapa nama sultan yang didampingi oleh Pangeran Diponegoro?,Sultan Hamengkubuwana V,SPAN,C
1367qqQx_HJpwlvPVKeAf79c771,Apa yang soemarsono lakukan setelah lolos dari eksekusi?,melarikan diri ke Sumatera Utara dan tinggal di sana sebagai guru,SPAN,C
1180si0MHWiDkF_QSrRg3Bmr3217,Berapa lama kekuasaan Khalifah Abbasiyah berlangsung?,dari tahun 132 H (750 M) s.d. 656 H (1258 M),SPAN,A
1755k6OhZV2tgTLoY1YA0e3q3540,Apa nama sungai terpanjang ke-4 di dunia?,Sungai Mississippi–Missouri,SPAN,B
29911GwDefKvNAdit4U50-4e3883,Bagaimana Amerika merespon pendudukan Indochina oleh Jepang?,embargo minyak secara penuh,SPAN,C
