Question Id,My Label,Label Correctness,Justification,Automated Label,
2041iPCDoSwc6-SSEDCFNNzL1675,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
5ae54bbd5542990ba0bbb262,A,Incorrect,"The question only ask the name of the fungi, so it doesn't need complex multi-hop answer",C,
2457EK954cnx1sbiMZvNQ97c1880,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,B,
5a7afdc85542992d025e672e,B,Incorrect,Requires 3 reasoning steps,C,
24701POZs5LXY2Y_RQwGiv2X1852,A,Incorrect,The question only need a single fact,B,
201676gIfT7jAO-6h0fecgJk2181,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,B,
707rbJ8T66FV5pGZGyETeS02861,B,Incorrect,Requires 2 reasoning steps,C,
646uZynkMYdhv1JIw-EffYb3014,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
1951HRAy-63r-iYmzz_OIMwm2295,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
2605EHUeu9PLnQV7xV85uEAC2379,A,Incorrect,The question only need a single fact,B,
2423B6sbACqoj9ruotjUHd4V3608,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
5a843f305542996488c2e51d,B,Incorrect,Requires 3 reasoning steps,C,
1383YetDIx4cL2q9GHdVBJD-729,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
2441iHjaCHbBrRtNVI1F4dLI1917,A,Incorrect,The question only need a single fact,B,
2031uU00oEz5_jFnQx9-A0O82151,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
1441MCBHwz4mlshCsnGFlkHe2130,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
264,A,Incorrect,"The question only need a single fact. Although the questions have some conditional that could be interpret to be more than one answer, the idea is still simple answer, not multi-hop answer",B,
5a71717d5542994082a3e834,B,Incorrect,Requires 2 reasoning steps,C,
3005XwdylUHqa96uz1Y8toQg3852,A,Incorrect,The question only need a single fact,C,
1400uU3CM_7LdMUuWkvkQxxM687,A,Incorrect,The question only need a single fact,B,
1459Gtt57D0AV39kKJE2bz4b2095,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
327,A,Incorrect,The question only need a single fact,B,
2490HveotyJgUi9rwPkdkWpd1806,A,Incorrect,The question only need a single fact,B,
1183U1zI1TbGdaZR1adOMYQM3208,A,Incorrect,The question only need a single fact,B,
926tAEnfqtEDknSf1RRHRGd2549,A,Incorrect,The question only need a single fact,B,
915hNLqOaPgMDH13MsuVSK52580,A,Incorrect,The question only need a single fact,B,
5a809b575542996402f6a59c,B,Incorrect,Requires 2 reasoning steps,C,
72,A,Incorrect,The question only need a single fact which is only one name,B,
322,A,Incorrect,The question only need a single fact,B,
846pjUcdsDwdYxx6e-kSkqz2759,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
2733NKE9l-FIURwp5kMM_ty2874,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
2735DkgI5gkdGxPwuyGQ7JAD869,A,Incorrect,The question only need a single fact which is the reason why Bulgaria lost the war,B,
2483xn8QuuA6OqhzaYPTxh7I1820,A,Incorrect,The question only need a single fact which is the name of the place ,B,
3018kZFSgaadxi0PtYR3mhFH3819,A,Incorrect,The question only need a single fact which is the name of the place ,B,
1147WFziH2m07QrmUbmsVu0h3310,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,B,
660LK3Me9by6QtGlAhc9ZgG2977,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
498,B,Correct,Requires 2 reasoning steps,B,
589hVu_utDk4vFRJ8mJGyL0141,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
1034epoawfzg9BJTz2Ca4vrd313,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
709ZYekPZmIHVZUS0oAXArM2857,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,C,
965GQDApWgsLm2Q6M9oCXXz505,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
3018ir8K9UU-cmqq5IQcmz7l3821,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
5aba7d7d554299232ef4a303,B,Incorrect,Requires 2 reasoning steps,C,
3025_iaJPF1EGsooMPEGZwvG3806,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,B,
2234WunkhYpA1H7nKvUqH4fU4008,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,B,
5ab6266555429953192ad277,B,Incorrect,Requires 2 reasoning steps,C,
2396H9jCvuDLczQcUQlEZGud3657,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
24726EVZOTD_h6siRGcBY7421848,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,B,
1365-1b52ot7eMMf3SsA9c4Y777,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,C,
5adf74075542992d7e9f937c,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,C,
2029zM0iFxiByEjdcqWytGF82156,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
5ae328df55429928c423963c,B,Incorrect,Requires 2-3 reasoning steps,C,
326,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
2126BGCK5LuPavsOvc_pxZVc1431,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,B,
665QURdf6UuEnoJsKOV4YtB2962,A,Incorrect,The question only need a single fact,C,
2680YHG3h-bpiN1GxpEiwHDE1021,A,Incorrect,The question only need a single fact,B,
2406B4Z7N9AspBfhkFExbXtA3637,A,Incorrect,The question only need a single fact,C,
5ac38c0755429939154137bb,C,Correct,"Requires 4 or more reasoning steps, including bridging multiple entities and making complex comparisons.",C,
489,A,Incorrect,The question only need a single fact,B,
1218FmLMT0y2IKk9ZtWcCy973101,A,Incorrect,The question only need a single fact,B,
5ab7ba7555429928e1fe38b5,B,Incorrect,Requires 2 reasoning steps,C,
578C_O7pYNiyLAUSE5J66xB175,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,B,
1020SC6hZKqsbIYDzkH4Cli3355,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,C,
904jIjVFDOK0pRjFHCWbvJn2614,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
5ae688065542996d980e7beb,C,Correct,"Requires 4 or more reasoning steps, including bridging multiple entities and making complex comparisons.",C,
5abcf9d155429959677d6b90,B,Incorrect,Requires 2 reasoning steps,C,
32a12a50c5cb4665bc2008efb1b4ad4f,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
977HIIAwnIqxPwgBrCLE7De468,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
919N7EcCukJEbIfy1TC92Ib2569,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,B,
1606ixCVPmgAtLujhTmR7TkV1222,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,B,
5ab5d9af554299494045f07e,B,Incorrect,Requires 2 reasoning steps,C,
1761O3JjMUze6fafyiPISXbp3520,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,C,
633AbrSc7FQvB59-3tSuvrL16,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
5adce3b95542990d50227d56,B,Incorrect,Requires 2 reasoning steps,C,
568C6TikKqLpIeAz8QXeLQr204,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,C,
2237eotzWAE9no45Pa9ifZYj3999,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
2684Tsl9g-K98ihJB9COTF6d1010,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,B,
11714vchzsnda6_BXJcN4y-b3241,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,B,
2126DJgUbSL5sAmvrHK4b6i71433,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,B,
975dedQPvGmPQcw3ASwBaEQ475,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,B,
724vcyS179ODvzR7GgFuf342817,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,C,
20751yhuHsp4GA5IYz4deJsk1576,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,C,
623bWU6rcF_FVPD0ZDhNL2t46,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
40,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,B,
1037LvCdYeAKroXxUJeycQww305,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
2980C0U4pvUngKDisOcpNW3q3908,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,B,
5a83c2e25542996488c2e4bc,B,Incorrect,Requires 3 reasoning steps,C,
25486Lhd5Z1MU0Q4sN3I3mAT2493,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,C,
2639bkXWs91YZSHduhAO93vu1136,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,C,
2078W30r7PMtchtgZT05P_0F1567,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,C,
2600QfJIRcuIUzI4QlhhMFbN2395,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
1370wFOaUl4F75Sxlc0zYcFA762,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
5a7f7b3b5542992097ad2f81,C,Correct,"Requires 4 or more reasoning steps, including bridging multiple entities and making complex comparisons.",C,
2722im-NxxsEP4XILd22CljL906,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,B,
1219M-HK-GzSUL0_YTpEyAal3099,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
1389Ypbz0yiTxHj8sdg8Dd-O714,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
22165cE4SIrSj4XGK-I-cUmM4056,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,C,
5adec62a55429975fa854f89,C,Correct,"Requires 4 or more reasoning steps, including bridging multiple entities and making complex comparisons.",C,
2544HudU0nsQ8gvIycLuberP2498,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,B,
592UDCpvvji8D0o4tbyHcVk133,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
2420arevHpIfCSerP3MdIRta3615,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,B,
5ae4d3a55542990ba0bbb164,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,C,
2523rTR1vV07WZ0GNJ4Wu_DS1724,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
1800AHEt4m27Eec8QRYN8CrP3433,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
183,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,C,
604mQQLLhcNi8N9nxflPiAk101,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
1823OCTxsYW2VwXgoqBEFKRB3380,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,B,
2165UFxDkTAvPqvH4KxZyH3w4185,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,B,
5ae32eca5542994393b9e640,B,Incorrect,Requires 3 reasoning steps,C,
23795KyPYBugQHXet6Mhcn6k3688,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,C,
1464jHZlsBjVv-8xARfsJrXa2085,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,B,
15629LVg0fMbpcV7lJ9LKY9C1331,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
1581m_4FT3wjNv2nkp7_WsVw1286,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,B,
602HXVJQ-EmvT3_fAAZT-iH102,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
176,A,Incorrect,The question only need a single fact,B,
5abc8507554299700f9d78de,A,Incorrect,The question only need a single fact,C,
25534aa9c2db4c029dac36e0b86cc9e9,A,Correct,The question only need a single fact,A,
68,A,Incorrect,The question only need a single fact,B,
308,A,Correct,The question only need a single fact,A,
2047k8-fX-AM7Tv4kEIBJCC81657,A,Correct,The question only need a single fact,A,
1157dystjMPwLIVRr1mKQuwa3280,A,Correct,The question only need a single fact,A,
628A_ztdoD85Pm7Hd6Uv2TF32,A,Incorrect,The question only need a single fact,C,
864AJ9w8gUeeT5ui2mjV-482708,A,Correct,The question only need a single fact,A,
ced58e5bda7e4c3280fe9aea708665ee,A,Correct,The question only need a single fact,A,
2231oKXyKiZUC2dpEO9h9RY-4017,A,Correct,The question only need a single fact,A,
27022m_6d9JgE_7EsYFGaMM8957,A,Correct,The question only need a single fact,A,
8800eSsNgilzH8vuQNt4Jml2673,A,Incorrect,The question only need a single fact,C,
2615nIRZaSedAQN4xOsUpgWf2368,A,Incorrect,The question only need a single fact,B,
1412dyjyK86xUjhTPTG2x3S7651,A,Correct,The question only need a single fact,A,
1531MPYKMgh40o6Ahyhf_CTe1945,A,Incorrect,The question only need a single fact,B,
50,A,Incorrect,The question only need a single fact,C,
1219odhtmia1JdsfFwCJXe5O3098,A,Incorrect,The question only need a single fact,B,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
